"","Country","World_bank","NCD_region","iso3","Region","Class","senario","total_cost_2023","total_cost_2024","total_cost_2025","total_cost_2026","total_cost_2027","total_cost_2028","total_cost_2029","total_cost_2030","total_cost_all"
"1","Afghanistan","LIC","South Asia","AFG","South Asia","LIC","Adjusted",23711729.6233691,29830412.6381759,36344793.3505107,43282357.6364514,50662465.110669,58501719.8655318,66813036.1837614,75608768.6522271,384755283.060696
"2","Afghanistan","LIC","South Asia","AFG","South Asia","LIC","Baseline",18568218.0515286,19183597.3929597,19819353.412053,20479169.9682427,21161695.4627338,21865428.1513188,22588286.6731684,23328841.6952815,166994590.807287
"3","Albania","UMIC","Central and Eastern Europe","ALB","Central and Eastern Europe","UMIC","Adjusted",5168.22580289945,5676.48699885584,6205.8797795918,6752.55743778092,7323.42916887989,7917.8689276434,8530.68484028951,9157.51789058277,56732.6508465236
"4","Albania","UMIC","Central and Eastern Europe","ALB","Central and Eastern Europe","UMIC","Baseline",4714.87266229423,4739.6024454932,4775.23561997542,4815.79482299866,4865.77167764419,4923.48551272962,4984.9703346539,5047.58672566604,38867.3198014553
"5","Algeria","UMIC","Central Asia, Middle East and North Africa","DZA","Central Asia, Middle East and North Africa","UMIC","Adjusted",121024600.76643,135469465.818811,150537668.675948,166467457.136346,182945668.277738,200048698.596193,217899884.707763,236589730.424141,1410983174.40337
"6","Algeria","UMIC","Central Asia, Middle East and North Africa","DZA","Central Asia, Middle East and North Africa","UMIC","Baseline",110208809.51658,113047866.825404,115911436.994088,118955342.402857,121934694.681335,124909409.390975,127954647.722953,131111085.817112,964033293.351304
"7","Angola","UMIC","Sub-Saharan Africa","AGO","Sub-Saharan Africa","UMIC","Adjusted",53858804.6509958,60826208.3146416,68278707.1874409,76326580.428569,84925076.7166571,94097405.706745,103864606.835831,114258132.674393,656435522.515273
"8","Angola","UMIC","Sub-Saharan Africa","AGO","Sub-Saharan Africa","UMIC","Baseline",49274261.1634121,51129803.7133102,53073581.2774619,55155588.3558154,57323393.2230177,59578548.1115477,61923116.2670826,64365459.8939397,451823752.005587
"9","Argentina","UMIC","Latin America and Caribbean","ARG","Latin America and Caribbean","UMIC","Adjusted",1791398592.50702,1962086666.99085,2139232821.07542,2329284900.85884,2524429686.27472,2724966914.80535,2930726712.35555,3141295263.53791,19543421558.4057
"10","Argentina","UMIC","Latin America and Caribbean","ARG","Latin America and Caribbean","UMIC","Baseline",1654431490.59144,1681311174.60637,1708180567.42427,1739733365.40215,1769641657.47811,1798447261.8988,1826720445.38867,1854969923.8463,14033435886.6361
"11","Armenia","LMIC","Central Asia, Middle East and North Africa","ARM","Central Asia, Middle East and North Africa","LMIC","Adjusted",25507036.5940585,29044758.1898532,32640882.4853818,36411235.8596465,40231563.0414812,44129319.0325099,48134158.0503177,52261219.8507768,308360173.104025
"12","Armenia","LMIC","Central Asia, Middle East and North Africa","ARM","Central Asia, Middle East and North Africa","LMIC","Baseline",22322605.6661642,22539871.5342778,22728502.0837454,22963762.1645275,23163374.577787,23350986.0967201,23544285.7241125,23749017.7732801,184362405.620615
"13","Azerbaijan","UMIC","Central Asia, Middle East and North Africa","AZE","Central Asia, Middle East and North Africa","UMIC","Adjusted",121406883.85986,134801382.884203,148825742.859154,163951269.81644,179687425.077244,196144180.064399,213383031.578665,231398165.335935,1389598081.4759
"14","Azerbaijan","UMIC","Central Asia, Middle East and North Africa","AZE","Central Asia, Middle East and North Africa","UMIC","Baseline",111574206.44324,114230707.424115,116905535.352313,119892647.234429,122798627.758274,125705183.932495,128653795.949816,131645792.132172,971406496.226855
